"assignee_id","assignee_name","component_id","component_name","created_at","description","due_on","hours_estimate_current","hours_estimate_initial","hours_actual","id","milestone_id","milestone_title","number","priority","project_id","project_title","reporter_id","reporter_name","resolution","resolution_description","severity_id","severity_name","status","summary","updated_at","version_id","version_name","field1_value_id","field1_value","field2_value_id","field2_value","field3_value_id","field3_value"
"","<none>","4","Testing","Tue Sep 29 16:00:32 UTC 2009","A interface to run tests, see failures, and provide extensibility to show statistics. At the minimum, the UI should:
* Show a list, preferably a tree, of all tests
* Visually show which tests passed and failed.
* Show the stack trace for any failed test.
* Provide ability to run any test.","","0.0","0.0","0.00","25","","<none>","7","2","4","FritoMod","1","Aaron F.","","","4","New Feature","new","Testing UI","Wed Oct 21 05:05:21 UTC 2009","","<none>","","<none>","","<none>","","<none>"
"","<none>","3","Project-Wide","Wed Oct 21 02:42:37 UTC 2009","FritoMod currently adds many, many values to the global namespace. While useful during development, we should, at some point, remove objects that do not need to be global. Ideally, FritoMod would only add one name to the namespace: ""FritoMod"". All other items that are globals would be members of this object.

We should also allow developers to export FritoMod for ease-of-use. To enable this easily, there should be a FritoMod.ExportGlobals() function that exports all FritoMod components.","","0.0","0.0","0.00","34","","<none>","16","3","4","FritoMod","1","Aaron F.","","","3","Cleanup","new","Minimize FritoMod's use of globals","Wed Oct 21 03:02:00 UTC 2009","1","Release","","<none>","","<none>","","<none>"
"","<none>","3","Project-Wide","Wed Oct 21 02:47:47 UTC 2009","FritoMod components should be friendly with respect to potentially newer versions. This sort of future proofing can be done without #16 if we version specific components, but it seems much more convenient and less error-prone if version protection is done with the FritoMod global itself.","","0.0","0.0","0.00","35","","<none>","17","3","4","FritoMod","1","Aaron F.","","","3","Cleanup","new","Future-Proof FritoMod components","Wed Oct 21 03:02:00 UTC 2009","1","Release","","<none>","","<none>","","<none>"
"1","Aaron F.","4","Testing","Mon Oct 26 20:52:24 UTC 2009","Currently, we run all of our test cases in protected mode. If error handler is robust enough, we could simply daisy-chain across error handlers. I don't know if it's possible in practice, but it's a cool idea and it's a way to get a healthy stack trace for any test case.","","0.0","0.0","0.00","36","","<none>","18","2","4","FritoMod","1","Aaron F.","","","2","Enhancement","new","Explore possibility of error-handler-based test suites","Mon Oct 26 20:52:24 UTC 2009","","<none>","","<none>","","<none>","","<none>"
"1","Aaron F.","1","Functional and Utilities","Fri Oct 30 13:00:24 UTC 2009","","","0.0","0.0","0.00","41","","<none>","23","3","4","FritoMod","1","Aaron F.","","","6","Exploration","new","Explore Combat Log project","Fri Oct 30 13:00:24 UTC 2009","","<none>","","<none>","","<none>","","<none>"
"1","Aaron F.","1","Functional and Utilities","Sun Nov 01 13:32:40 UTC 2009","This would allow us to have a proper Equals method, which currently is next to useless. Would also be much more civilized in general.","","0.0","0.0","0.00","43","","<none>","25","3","4","FritoMod","1","Aaron F.","","","2","Enhancement","new","Explore: OOP instances share a metatable","Sun Nov 01 13:36:18 UTC 2009","","<none>","","<none>","","<none>","","<none>"
"1","Aaron F.","1","Functional and Utilities","Thu Sep 24 04:28:54 UTC 2009","* EventDispatcher should be removed. CompositeTable, Activator already provide cleaner solutions to EventDispatcher. Once the classes that use this class are revamped, it should be taken out
* IterationManager should also be removed. Timing provides superior solutions to this monolith. However, UI makes use of IterationManager, so it should be updated to use Timing exclusively.","","0.0","0.0","0.00","19","7","Bootstrapping","1","3","4","FritoMod","1","Aaron F.","fixed","Both of these classes are removed, and with the changes with API, I can consider this closed.","","<none>","closed","Remove Events while retaining functionality","Tue Sep 29 15:48:35 UTC 2009","","<none>","","<none>","","<none>","","<none>"
"1","Aaron F.","1","Functional and Utilities","Thu Sep 24 04:31:14 UTC 2009","API provides a level of functionality, which isn't a very modular abstraction. It makes much more sense to distribute Blizzard-specific functionality to separate projects, instead of arbitrarily distributing that functionality between higher- and lower-level addons.","","0.0","0.0","0.00","20","7","Bootstrapping","2","3","4","FritoMod","1","Aaron F.","fixed","Changeset [fritomod:e2c46cb28b5747e89dc92a4ecf00a2e7d3212b42]:

[resolves #2] Removed API project

The GetTime function here is no longer used. Use either Blizzard
default's, or higher-level work in Timing","","<none>","closed","Separate API into respective addons","Fri Sep 25 20:57:33 UTC 2009","","<none>","","<none>","","<none>","","<none>"
"1","Aaron F.","3","Project-Wide","Thu Sep 24 04:34:31 UTC 2009","Finish this process of uploading the framework and adding tickets.","","0.0","0.0","0.00","21","7","Bootstrapping","3","3","4","FritoMod","1","Aaron F.","fixed","Changeset [fritomod:724cdfeb148435b3c2388f6f5880839e0d374469]:

[resolves #3] Removed TODO","","<none>","closed","Add FritoMod to Unfuddle","Thu Sep 24 05:27:29 UTC 2009","","<none>","","<none>","","<none>","","<none>"
"1","Aaron F.","3","Project-Wide","Thu Sep 24 05:16:41 UTC 2009","Unit tests are an integral part of development. A system needs to be imported or created that is:

* Lightweight. A heavy system is difficult to use and discourages tests. Adding a new test should be a one-liner.
* Centralized, with decentralized components. A centralized system allows easy, automatic testing. Decentralized components allows flexibility when necessary.
* Automatic. It should test on start-up, running every test. It should be silent on success, and dump errors to the chat frame when it fails.
* Offer points for extensibility. A graphical interface would be nice, statistics would be nice. These are definitely not required for this ticket.","","0.0","0.0","0.00","22","7","Bootstrapping","4","5","4","FritoMod","1","Aaron F.","fixed","The system currently built meets our requirements

* It is lightweight. Tests are trivially easy to write, we use natural testing methods ( assert(), regular function calls)
* It is centralized with decentralized components. Centralization is optional. All suites can be run naturally on their own.
* It is automatic. A one-line Hack script can run a custom suite of tests on startup.
* It offers points for extensibility. Listeners can be added recursively, and events are generated for all important moments in the testing life-cycle. TestSuites are also regular classes, so they offer all the power inherent in those. The GetTests abstract method affords an incredible amount of power, and the very flexible RunTests local function in TestSuite enables a wide slew of tests to be ran.
","","<none>","closed","Integrate Unit Tests","Tue Sep 29 15:53:54 UTC 2009","","<none>","","<none>","","<none>","","<none>"
"1","Aaron F.","","<none>","Thu Sep 24 10:43:13 UTC 2009","Get all the errors to go away.

- **FritoMod_Testing_Tests\TestCase.lua** line 1:
   attempt to index global 'Environment' (a nil value)
- **FritoMod_Testing_Tests\TestManager.lua** line 1:
   attempt to index global 'Environment' (a nil value)
- **FritoMod_Units\Units.lua** line 1:
   attempt to index global 'API' (a nil value)
- **FritoMod_OOP\OOP\Class.lua** line 107: (Actually in ReflectiveTestCase.lua)
   Mixin or class is falsy. Index 1
- **FritoMod_Testing\TestManager.lua** line 51:
   attempt to call global 'TestCase' (a table value)
- **[string ""Test Simple Frame Listener""]** line 4:
   attempt to index global 'API' (a nil value)","","0.0","0.0","0.00","23","7","Bootstrapping","5","5","4","FritoMod","1","Aaron F.","fixed","Changeset [fritomod:41c9130ec980671c02c845dcdbaf59148fb3ba72]:

[bugfixes, resolves #5] Fixed a couple remaining bugs","1","Showstopper","closed","Fix the Build","Fri Oct 02 02:07:57 UTC 2009","","<none>","","<none>","","<none>","","<none>"
"1","Aaron F.","5","Blizzard API Integration","Fri Sep 25 18:02:57 UTC 2009","This probably means spawning a new ""mediums"" in the separate language. Something like this that feels functional and not error-prone would be nice.","","0.0","0.0","0.00","24","","<none>","6","2","4","FritoMod","1","Aaron F.","will_not_fix","This is too esoteric and odd for us to do. Closing as 'will not fix' unless I actually ever need a different language.","2","Enhancement","closed","Chat supports different languages","Sat Oct 30 04:36:55 UTC 2010","","<none>","","<none>","","<none>","","<none>"
"1","Aaron F.","","<none>","Tue Sep 29 16:06:16 UTC 2009","Should Logging be retained? Is it useful? What features should it provide, if any. If there's no useful purpose for it, it should be removed.

It likely should share the strengths of the testing framework:

* Lightweight. Logging should not be difficult
* Leverages natural strengths of Lua and the framework. It should use simple abstractions like lists and callables. It should not needlessly wrap functionality, though it should be rigid enough to imply good practices for its use","","0.0","0.0","0.00","26","","<none>","8","3","4","FritoMod","1","Aaron F.","will_not_fix","Logging was a useful debugging aid. However, this purpose is superseded by the testing framework, which acts as the primary tool for ensuring correctness. Other, more client-oriented purposes are probably at either a higher-level than this project, or better suited by ad-hoc solutions.

Changeset [fritomod:5e6ce7df9f3f0b8bf07a9847d7a5543851307260]:

[resolves #8] Removed Logging project","","<none>","closed","Evaluate the Logging project","Wed Oct 21 03:37:13 UTC 2009","","<none>","","<none>","","<none>","","<none>"
